strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s
Grid_offline_ref,matmul,202,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,203,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,204,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,205,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,206,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,207,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,208,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,209,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,210,False,,,param_incompatibility,2.5
Grid_offline_ref,matmul,211,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,212,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,213,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,214,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,215,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,216,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,217,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,218,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,219,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,220,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,221,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,222,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,223,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,224,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,225,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,226,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,227,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,228,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,229,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,230,False,,,pipeline_phi_conflict,2.42
Grid_offline_ref,matmul,231,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,232,False,,,pipeline_phi_conflict,2.52
Grid_offline_ref,matmul,233,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,234,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,235,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,236,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,237,False,,,pipeline_phi_conflict,2.44
Grid_offline_ref,matmul,238,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,239,False,,,pipeline_phi_conflict,2.45
Grid_offline_ref,matmul,240,False,,,param_incompatibility,2.46
